Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
-,Данченко Алексей,,,1988,100.4,,,,,-180,-180,-195,-195,-,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Павловский Алексей,,,1974,109.25,300,320,330,330,230,230,240,,240,-300,300,-330,300,870
2,Чередов Павел,,,1984,118,260,270,280,280,240,240,-250,-250,240,250,,,250,770
3,Шулгестеров Данил,,,1982,109.75,-230,240,250,250,130,130,140,-145,140,250,270,-280,270,660
4,Дементьев Денис,,,1996,115.35,200,210,220,220,135,135,145,150,150,210,230,-240,230,600
5,Галактионов Иван,,,1988,118.8,190,200,-210,200,-120,-120,120,-127.5,120,190,210,220,220,540
6,Кутернин Владислав,,,1996,111.55,160,175,190,190,-140,-140,140,-160,140,170,190,200,200,530
-,Корягин Игорь ,,,1984,112.65,,,,,140,140,147.5,155,155,,,,-,
-,Шведов Алексей,,,1995,114.5,,,,,180,180,-190,190,190,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Скачков Алексей,,,1992,120.2,225,250,265,265,180,180,195,-207.5,195,280,320.5,-346.5,320.5,780.5
2,Пушкин Сергей,,,1986,129.7,170,185,200,200,160,160,170,-180,170,180,200,220,220,590
3,Анищенко Константин,,,1989,144.7,180,200,210,210,115,115,-130,-135,115,190,220,-240,220,545
-,Шевелев Григорий,,,1982,122.5,,,,,190,190,200,-207.5,200,,,,-,
-,Лысенко Никита,,,1986,124.4,,,,,210,210,225,235,235,,,,-,
-,Титков Роман,,,1984,131.6,,,,,170,170,175,-180,175,,,,-,
-,Жданов Михаил,,,1992,142.05,,,,,160,160,-170,180,180,,,,-,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Открытое первенство Новосибирской области по троеборью и жиму лежа среди ветеранов,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,Севергин Юрий,,,1962,65.65,,,,,95,95,102.5,-107.5,102.5,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Арсенов Андрей,,,1956,82.65,172.5,185,-197.5,185,110,110,115,120,120,190,200,-210,200,505
2,Коллеров Анатолий,,,1967,80.05,120,130,140,140,100,100,112.5,117.5,117.5,140,150,-155,150,407.5
3,Исагулов Эдуард,,,1974,83,80,90,,90,50,50,-60,,50,170,175,,175,315
-,Шмачков Александр,,,1961,80.5,,,,,-115,-115,115,120,120,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Бабкин Павел,,,1962,91.95,160,170,180,180,115,115,120,125,125,190,200,210,210,515
2,Степанов Олег,,,1964,86.65,-140,150,160,160,125,125,132.5,135,135,150,170,185,185,480
3,Кропис Александр,,,1968,91.25,150,160,,160,100,100,-105,-105,100,190,195,-205,195,455
-,Пирогов Олег,,,1963,88,,,,,75,75,-82.5,82.5,82.5,,,,-,
-,Чечулин Дмитрий,,,1974,92.65,,,,,155,155,162.5,170,170,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Кирюхин Игорь,,,1970,98.4,175,185,200,200,170,170,175,180,180,185,200,210,210,590
2,Павлюченко Александр,,,1971,104.8,190,200,-210,200,170,170,-175,-177.5,170,190,212.5,-222.5,212.5,582.5
3,Скурихин Роман,,,1973,102.85,130,150,-160,150,110,110,120,125,125,120,130,140,140,415
-,Кубакин Сергей,,,1974,103.25,,,,,140,140,145,-150,145,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Субботин Сергей,,,1971,118.95,190,200,210,210,150,150,160,-165,160,250,-265,,250,620
-,Пенягин Николай ,,,1972,113.7,,,,,145,145,-150,-155,145,,,,-,
-,Надеев Павел,,,1974,113.8,,,,,-180,-180,-195,195,195,,,,-,
-,Старосветский Максим,,,1975,115.65,,,,,202.5,202.5,210,215,215,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Горбунов Валерий,,,1965,120.15,220,240,260,260,140,140,155,-165,155,230,250,270,270,685
2,Горобец Алексей,,,1956,124,150,160,,160,150,150,160,170,170,200,215,,215,545
-,Бакалейник Леонид ,,,1966,121.15,,,,,120,120,-127.5,135,135,,,,-,
-,Альтшулер Игорь,,,1974,122.3,,,,,-190,-190,-190,-190,-,,,,-,
,,,,,,,,,,,,,,,,,,,
,Открытый чемпионат Новосибирской области по троеборью и жиму лежа среди женщин с ПОДА,,,,,,,,,,,,,,,,,,
04 - 05 июня 2016 г.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
