Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,D,Marcus Saarikalle,107.8,110,M,Masters 40-44,Raw,40,,,,,,300,-320,,,300,300
DQ,D,Harri Visnen,108.8,110,M,Masters 40-44,Raw,43,,,,,,-65,,,,,
1,D,Harri Pyklmki,123.6,125,M,Masters 45-49,Raw,45,,,,,,270,280,290,,290,290
1,D,Totte Salmi ,59.6,60,M,Open,Raw,44,,,,,,175,185,190,,190,190
1,D,Vesa Jrvelinen,74.1,75,M,Open,Raw,43,,,,,,200,225,240,,240,240
2,D,Joni Laiho,73.7,75,M,Open,Raw,26,,,,,,200,215,225,,225,225
1,D,Henri Vauto,82,82.5,M,Open,Raw,32,,,,,,230,250,260,,260,260
2,D,Tommi Lntinen,81.7,82.5,M,Open,Raw,39,,,,,,240,250,-255,,250,250
3,D,Daniel Szasko,80.9,82.5,M,Open,Raw,35,,,,,,225,235,245,,245,245
4,D,Marko Masalin,79.2,82.5,M,Open,Raw,33,,,,,,220,-240,-240,,220,220
1,D,Eetu Sieppi,84.5,90,M,Open,Raw,24,,,,,,290,310,-322.5,,310,310
2,D,Mikael Kumlander,88.7,90,M,Open,Raw,36,,,,,,280,300,-307.5,,300,300
3,D,Santeri Asikainen,88.4,90,M,Open,Raw,28,,,,,,250,265,-275,,265,265
4,D,Tuomas Kiander,87.1,90,M,Open,Raw,27,,,,,,165,185,202.5,,202.5,202.5
DQ,D,Topi Innanen,89.1,90,M,Open,Raw,24,,,,,,-265,-275,-275,,,
1,D,Anssi Juntunen,99.5,100,M,Open,Raw,35,,,,,,310,325,336.5,340,336.5,336.5
2,D,Teemu Hakala,99.6,100,M,Open,Raw,29,,,,,,310,325,335,337.5,335,335
3,D,Joni Kivel,98.6,100,M,Open,Raw,29,,,,,,310,325,327.5,,327.5,327.5
4,D,Mikko Korpeinen,99.6,100,M,Open,Raw,39,,,,,,320,-336,-337,,320,320
5,D,Sami Niittumaa,98.4,100,M,Open,Raw,30,,,,,,260,265,270,,270,270
6,D,Aleksi Hiissa,99.2,100,M,Open,Raw,25,,,,,,235,250,260,,260,260
7,D,Antti Penttil,100,100,M,Open,Raw,31,,,,,,200,215,-225,,215,215
1,D,Eduard Khanjyan,108.8,110,M,Open,Raw,33,,,,,,360,-370,,,360,360
2,D,Mikko Leinonen,101.4,110,M,Open,Raw,30,,,,,,280,307.5,320,,320,320
3,D,Ville Suominen,105.8,110,M,Open,Raw,37,,,,,,290,305,-322.5,,305,305
4,D,Topi Frifeldt,109.3,110,M,Open,Raw,37,,,,,,270,292.5,300,,300,300
5,D,Sauli Kallunki,108.8,110,M,Open,Raw,24,,,,,,250,272.5,280,,280,280
6,D,Jussi Jantunen,108.5,110,M,Open,Raw,31,,,,,,200,215,227.5,,227.5,227.5
7,D,Kirill Shitikov,106.3,110,M,Open,Raw,,,,,,,197.5,205,215,,215,215
DQ,D,Jani-Pekka Eirala,109.6,110,M,Open,Raw,,,,,,,340,,,,,
1,D,Topias Cunningham,120.5,125,M,Open,Raw,,,,,,,340,362.5,-380,,362.5,362.5
2,D,Samuli Ketola,124.2,125,M,Open,Raw,27,,,,,,-300,320,-330,,320,320
3,D,Jan-Erik Maantila,115.4,125,M,Open,Raw,34,,,,,,-280,280,300,,300,300
4,D,Samuli Vaittinen,116.9,125,M,Open,Raw,30,,,,,,280,300,-310,,300,300
5,D,Juha Alasaari,120.6,125,M,Open,Raw,36,,,,,,260,280,300,,300,300
6,D,Juuso Saarinen,113.9,125,M,Open,Raw,35,,,,,,260,272.5,280,,280,280
7,D,Samuli Kapanen,122.9,125,M,Open,Raw,30,,,,,,235,250,-260,,250,250
1,D,Zahir Khudayarov,130.7,140,M,Open,Raw,36,,,,,,350,375,-385,,375,375
1,D,Asko Karu,147.2,140+,M,Open,Raw,27,,,,,,360,380,390,,390,390
